Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type
FDD46,6.035,Low Fat,Snack Foods
FDD47,7.6,Regular,Starchy Foods
FDD48,10.395,Low Fat,Baking Goods
FDD50,18.85,Low Fat,Canned
FDD51,11.15,Low Fat,Dairy
FDD52,18.25,Regular,Dairy
FDD53,16.2,Low Fat,Frozen Foods
FDD56,15.2,Regular,Fruits and Vegetables
FDD57,18.1,Low Fat,Fruits and Vegetables
FDD58,7.76,Low Fat,Snack Foods
FDD59,10.5,Regular,Starchy Foods
FDE02,8.71,Low Fat,Canned
FDE04,19.75,Regular,Frozen Foods
FDE05,10.895,Regular,Frozen Foods
FDE08,18.2,Low Fat,Fruits and Vegetables
FDE09,8.775,Low Fat,Fruits and Vegetables
FDE10,6.67,Regular,Snack Foods
FDE11,17.7,Regular,Starchy Foods
FDE14,13.65,Regular,Canned
FDE16,8.895,Low Fat,Frozen Foods
FDE17,20.1,Regular,Frozen Foods
FDE20,11.35,Regular,Fruits and Vegetables
FDE21,12.8,Low Fat,Fruits and Vegetables
FDE22,9.695,Low Fat,Snack Foods
FDE23,17.6,Regular,Starchy Foods
FDE24,14.85,Low Fat,Baking Goods
FDE26,9.3,Low Fat,Canned
FDE28,9.5,Regular,Frozen Foods
FDE29,8.905,Low Fat,Frozen Foods
FDE32,20.7,Low Fat,Fruits and Vegetables
FDE33,19.35,Regular,Fruits and Vegetables
FDE34,9.195,Low Fat,Snack Foods
FDE35,7.06,Regular,Starchy Foods
FDE36,5.26,Regular,Baking Goods
FDE38,6.52,Low Fat,Canned
FDE39,7.89,Low Fat,Dairy
FDE40,15.6,Regular,Dairy
FDE41,9.195,Regular,Frozen Foods
FDE44,14.65,Low Fat,Fruits and Vegetables
FDE45,12.1,Low Fat,Fruits and Vegetables
FDE46,18.6,Low Fat,Snack Foods
FDE47,14.15,Low Fat,Starchy Foods
FDE50,19.7,Regular,Canned
FDE51,5.925,Regular,Dairy
FDE52,,Regular,Dairy
FDE53,10.895,Low Fat,Frozen Foods
FDE56,17.25,Regular,Fruits and Vegetables
FDE57,9.6,Low Fat,Fruits and Vegetables
FDE58,18.5,Low Fat,Snack Foods
FDE59,12.15,Low Fat,Starchy Foods
FDF02,16.2,Low Fat,Canned
FDF04,17.5,Low Fat,Frozen Foods
FDF05,17.5,Low Fat,Frozen Foods
FDF08,14.3,Regular,Fruits and Vegetables
FDF09,6.215,Low Fat,Fruits and Vegetables
FDF10,15.5,Regular,Snack Foods
FDF11,10.195,Regular,Starchy Foods
FDF12,8.235,Low Fat,Baking Goods
FDF14,7.55,Low Fat,Canned
FDF16,7.3,Low Fat,Frozen Foods
FDF17,5.19,Low Fat,Frozen Foods
FDF20,12.85,Low Fat,Fruits and Vegetables
FDF21,10.3,Regular,Fruits and Vegetables
FDF22,6.865,Low Fat,Snack Foods
FDF24,15.5,Regular,Baking Goods
FDF26,6.825,Regular,Canned
FDF28,15.7,Regular,Frozen Foods
FDF29,15.1,Regular,Frozen Foods
FDF32,16.35,Low Fat,Fruits and Vegetables
FDF33,7.97,Low Fat,Seafood
FDF34,9.3,Regular,Snack Foods
FDF35,15.0,Low Fat,Starchy Foods
FDF38,11.8,Regular,Canned
FDF39,14.85,Regular,Dairy
FDF40,20.25,Regular,Dairy
FDF41,12.15,Low Fat,Frozen Foods
FDF44,7.17,Regular,Fruits and Vegetables
FDF45,18.2,Regular,Fruits and Vegetables
FDF46,7.07,Low Fat,Snack Foods
FDF47,20.85,Low Fat,Starchy Foods
FDF50,4.905,Low Fat,Canned
FDF52,9.3,Low Fat,Frozen Foods
FDF53,20.75,Regular,Frozen Foods
FDF56,16.7,Regular,Fruits and Vegetables
FDF57,14.5,Regular,Fruits and Vegetables
FDF58,13.3,Low Fat,Snack Foods
FDF59,12.5,Low Fat,Starchy Foods
FDG02,7.855,Low Fat,Canned
FDG04,13.1,Low Fat,Frozen Foods
FDG05,11.0,Regular,Frozen Foods
FDG08,13.15,Regular,Fruits and Vegetables
FDG09,20.6,Regular,Fruits and Vegetables
FDG10,6.63,Regular,Snack Foods
FDG12,6.635,Regular,Baking Goods
FDG14,9.0,Regular,Canned
FDG16,15.25,Low Fat,Frozen Foods
FDG17,6.865,Regular,Frozen Foods
FDG20,15.5,Regular,Fruits and Vegetables
FDG21,17.35,Regular,Seafood
FDG22,17.6,Regular,Snack Foods
FDG24,7.975,Low Fat,Baking Goods
FDG26,18.85,Low Fat,Canned
FDG28,9.285,Regular,Frozen Foods
FDG29,17.6,Low Fat,Frozen Foods
FDG31,12.15,Low Fat,Meat
FDG32,19.85,Low Fat,Fruits and Vegetables
FDG33,5.365,Regular,Seafood
FDG34,11.5,Regular,Snack Foods
FDG35,21.2,Regular,Starchy Foods
FDG38,8.975,Regular,Canned
FDG40,13.65,Low Fat,Frozen Foods
FDG41,8.84,Regular,Frozen Foods
FDG44,6.13,Low Fat,Fruits and Vegetables
FDG45,8.1,Low Fat,Fruits and Vegetables
FDG46,8.63,Regular,Snack Foods
FDG47,12.8,Low Fat,Starchy Foods
FDG50,7.405,Low Fat,Canned
FDG52,13.65,Low Fat,Frozen Foods
FDG53,10.0,Low Fat,Frozen Foods
FDG56,13.3,Regular,Fruits and Vegetables
FDG57,14.7,Low Fat,Fruits and Vegetables
FDG58,10.695,Regular,Snack Foods
FDG59,15.85,Low Fat,Starchy Foods
FDG60,20.35,Low Fat,Baking Goods
FDH02,7.27,Regular,Canned
FDH04,6.115,Regular,Frozen Foods
FDH05,14.35,Regular,Frozen Foods
FDH08,7.51,Low Fat,Fruits and Vegetables
FDH09,12.6,Low Fat,Seafood
FDH10,21.0,Low Fat,Snack Foods
FDH12,9.6,Low Fat,Baking Goods
FDH14,17.1,Regular,Canned
FDH16,10.5,Low Fat,Frozen Foods
FDH17,16.2,Regular,Frozen Foods
FDH19,19.35,Low Fat,Meat
FDH20,16.1,Regular,Fruits and Vegetables
FDH21,10.395,Low Fat,Seafood
FDH22,6.405,Low Fat,Snack Foods
FDH24,20.7,Low Fat,Baking Goods
FDH26,19.25,Regular,Canned
FDH27,7.075,Low Fat,Dairy
FDH28,15.85,Regular,Frozen Foods
FDH31,12.0,Regular,Meat
FDH32,12.8,Low Fat,Fruits and Vegetables
FDH33,12.85,Low Fat,Snack Foods
FDH34,8.63,Low Fat,Snack Foods
FDH35,18.25,Low Fat,Starchy Foods
FDH38,6.425,Low Fat,Canned
FDH40,11.6,Regular,Frozen Foods
FDH41,9.0,Low Fat,Frozen Foods
FDH44,19.1,Regular,Fruits and Vegetables
FDH45,15.1,Regular,Fruits and Vegetables
FDH46,6.935,Regular,Snack Foods
FDH47,13.5,Regular,Starchy Foods
FDH48,13.5,Low Fat,Baking Goods
FDH50,15.0,Regular,Canned
FDH52,9.42,Regular,Frozen Foods
FDH53,20.5,Regular,Frozen Foods
FDH56,9.8,Regular,Fruits and Vegetables
FDH57,10.895,Low Fat,Fruits and Vegetables
FDH58,12.3,Low Fat,Snack Foods
FDH60,19.7,Regular,Baking Goods
FDI02,15.7,Regular,Canned
FDI04,13.65,Regular,Frozen Foods
FDI05,8.35,Regular,Frozen Foods
FDI07,12.35,Regular,Meat
FDI08,18.2,Regular,Fruits and Vegetables
FDI09,20.75,Regular,Seafood
FDI10,8.51,Regular,Snack Foods
FDI12,9.395,Regular,Baking Goods
FDI14,14.1,Low Fat,Canned
FDI15,13.8,Low Fat,Dairy
FDI16,14.0,Regular,Frozen Foods
FDI19,15.1,Low Fat,Meat
FDI20,19.1,Low Fat,Fruits and Vegetables
FDI21,5.59,Regular,Snack Foods
FDI22,12.6,Low Fat,Snack Foods
FDI24,10.3,Low Fat,Baking Goods
FDI26,5.94,Low Fat,Canned
FDI27,8.71,Regular,Dairy
FDI28,14.3,Low Fat,Frozen Foods
FDI32,17.7,Low Fat,Fruits and Vegetables
FDI33,16.5,Low Fat,Snack Foods
FDI34,10.65,Regular,Snack Foods
FDI35,14.0,Low Fat,Starchy Foods
FDI36,12.5,Regular,Baking Goods
FDI38,13.35,Regular,Canned
FDI40,11.5,Regular,Frozen Foods
FDI41,18.5,Regular,Frozen Foods
FDI44,16.1,Low Fat,Fruits and Vegetables
FDI45,13.1,Low Fat,Fruits and Vegetables
FDI46,9.5,Low Fat,Snack Foods
FDI48,11.85,Regular,Baking Goods
FDI50,8.42,Regular,Canned
FDI52,18.7,Low Fat,Frozen Foods
FDI53,8.895,Regular,Frozen Foods
FDI56,7.325,Low Fat,Fruits and Vegetables
FDI57,19.85,Low Fat,Seafood
FDI58,7.64,Regular,Snack Foods
FDI60,7.22,Regular,Baking Goods
FDJ02,17.2,Regular,Canned
FDJ03,12.35,Regular,Dairy
FDJ04,18.0,Low Fat,Frozen Foods
FDJ07,7.26,Low Fat,Meat
FDJ08,11.1,Low Fat,Fruits and Vegetables
FDJ09,15.0,Low Fat,Snack Foods
FDJ10,5.095,Regular,Snack Foods
FDJ12,8.895,Regular,Baking Goods
FDJ14,10.3,Regular,Canned
FDJ15,11.35,Regular,Dairy
FDJ16,9.195,Low Fat,Frozen Foods
FDJ20,20.7,Regular,Fruits and Vegetables
FDJ21,16.7,Regular,Snack Foods
FDJ22,18.75,Low Fat,Snack Foods
FDJ26,15.3,Regular,Canned
FDJ27,17.7,Regular,Meat
FDJ28,12.3,Low Fat,Frozen Foods
FDJ32,10.695,Low Fat,Fruits and Vegetables
FDJ33,8.895,Regular,Snack Foods
FDJ34,11.8,Regular,Snack Foods
FDJ36,14.5,Regular,Baking Goods
FDJ38,8.6,Regular,Canned
FDJ40,13.6,Regular,Frozen Foods
FDJ41,6.85,Low Fat,Frozen Foods
FDJ44,12.3,Regular,Fruits and Vegetables
FDJ45,17.75,Low Fat,Seafood
FDJ46,11.1,Low Fat,Snack Foods
FDJ48,11.3,Low Fat,Baking Goods
FDJ50,8.645,Low Fat,Canned
FDJ52,7.145,Low Fat,Frozen Foods
FDJ53,10.5,Low Fat,Frozen Foods
FDJ55,12.8,Regular,Meat
FDJ56,8.985,Low Fat,Fruits and Vegetables
FDJ57,7.42,Regular,Seafood
FDJ58,15.6,Regular,Snack Foods
FDJ60,19.35,Regular,Baking Goods
FDK02,12.5,Low Fat,Canned
FDK03,12.6,Regular,Dairy
FDK04,7.36,Low Fat,Frozen Foods
FDK08,9.195,Regular,Fruits and Vegetables
FDK09,15.2,Low Fat,Snack Foods
FDK10,5.785,Regular,Snack Foods
FDK14,6.98,Low Fat,Canned
FDK15,10.8,Low Fat,Meat
FDK16,9.065,Low Fat,Frozen Foods
FDK20,12.6,Regular,Fruits and Vegetables
FDK21,7.905,Low Fat,Snack Foods
FDK22,9.8,Low Fat,Snack Foods
FDK24,9.195,Low Fat,Baking Goods
FDK25,11.6,Regular,Breakfast
FDK26,5.46,Regular,Canned
FDK27,11.0,Low Fat,Meat
FDK28,5.695,Low Fat,Frozen Foods
FDK32,16.25,Regular,Fruits and Vegetables
FDK33,17.85,Low Fat,Snack Foods
FDK34,13.35,Low Fat,Snack Foods
FDK36,7.09,Low Fat,Baking Goods
FDK38,6.65,Low Fat,Canned
FDK40,7.035,Low Fat,Frozen Foods
FDK41,14.3,Low Fat,Frozen Foods
FDK43,9.8,Low Fat,Meat
FDK44,16.6,Low Fat,Fruits and Vegetables
FDK45,11.65,Low Fat,Seafood
FDK46,9.6,Low Fat,Snack Foods
FDK48,7.445,Low Fat,Baking Goods
FDK50,7.96,Low Fat,Canned
FDK51,19.85,Low Fat,Dairy
FDK52,18.25,Low Fat,Frozen Foods
FDK55,18.5,Low Fat,Meat
FDK56,9.695,Low Fat,Fruits and Vegetables
FDK57,,Low Fat,Snack Foods
FDK58,11.35,Regular,Snack Foods
FDK60,16.5,Regular,Baking Goods
FDL02,20.0,Regular,Canned
FDL03,19.25,Regular,Meat
FDL04,19.0,Low Fat,Frozen Foods
FDL08,10.8,Low Fat,Fruits and Vegetables
FDL09,19.6,Regular,Snack Foods
FDL10,8.395,Low Fat,Snack Foods
FDL12,15.85,Regular,Baking Goods
FDL13,13.85,Regular,Breakfast
FDL14,8.115,Regular,Canned
FDL15,17.85,Low Fat,Meat
FDL16,12.85,Low Fat,Frozen Foods
FDL20,17.1,Low Fat,Fruits and Vegetables
FDL21,15.85,Regular,Snack Foods
FDL22,16.85,Low Fat,Snack Foods
FDL24,10.3,Regular,Baking Goods
FDL25,6.92,Regular,Breakfast
FDL26,18.0,Low Fat,Canned
FDL27,6.17,Low Fat,Meat
FDL28,10.0,Regular,Frozen Foods
FDL32,15.7,Regular,Fruits and Vegetables
FDL33,7.235,Low Fat,Snack Foods
FDL34,16.0,Low Fat,Snack Foods
FDL36,15.1,Low Fat,Baking Goods
FDL38,13.8,Regular,Canned
FDL39,16.1,Regular,Dairy
FDL40,17.7,Low Fat,Frozen Foods
FDL43,10.1,Low Fat,Meat
FDL44,18.25,Low Fat,Fruits and Vegetables
FDL45,15.6,Low Fat,Snack Foods
FDL46,20.35,Low Fat,Snack Foods
FDL48,19.35,Regular,Baking Goods
FDL50,12.15,Regular,Canned
FDL51,20.7,Regular,Dairy
FDL52,6.635,Regular,Frozen Foods
FDL56,14.1,Low Fat,Fruits and Vegetables
FDL57,15.1,Regular,Snack Foods
FDL58,5.78,Regular,Snack Foods
FDM01,7.895,Regular,Breakfast
FDM02,12.5,Regular,Canned
FDM03,12.65,Low Fat,Meat
FDM04,9.195,Regular,Frozen Foods
FDM08,10.1,Regular,Fruits and Vegetables
FDM09,11.15,Regular,Snack Foods
FDM10,18.25,Low Fat,Snack Foods
FDM12,16.7,Regular,Baking Goods
FDM13,6.425,Low Fat,Breakfast
FDM14,13.8,Low Fat,Canned
FDM15,11.8,Regular,Meat
FDM16,8.155,Regular,Frozen Foods
FDM20,10.0,Low Fat,Fruits and Vegetables
FDM21,20.2,Low Fat,Snack Foods
FDM22,14.0,Regular,Snack Foods
FDM24,6.135,Regular,Baking Goods
FDM25,10.695,Regular,Breakfast
FDM27,12.35,Regular,Meat
FDM28,15.7,Low Fat,Frozen Foods
FDM32,20.5,Low Fat,Fruits and Vegetables
FDM33,15.6,Low Fat,Snack Foods
FDM34,19.0,Low Fat,Snack Foods
FDM36,11.65,Regular,Baking Goods
FDM38,5.885,Regular,Canned
FDM39,6.42,Low Fat,Dairy
FDM40,10.195,Low Fat,Frozen Foods
